Finding ID,Domain,Severity,Status,Requirement,File,Line,Evidence,Reproduction,Expected,Actual,Recommendation,Required Test,Owner,Due Date,Reviewer
ACC-SEC-P0-001,SEC,P0,OPEN,OIDC identity binding admin-only,src/main/java/com/ses/config/SecurityConfig.java,143-169,Security audit + code analysis,HR/manager POST /api/identity-providers/{id}/external-identities bind to admin userId then OIDC login,Admin-only provisioning,HR/manager can bind any user,Restrict endpoint to hasRole(管理者); add @PreAuthorize; assert caller is admin in service,OidcSecurityIntegrationTest,Security,2026-08-28,Acceptance Lead
ACC-OPS-P0-001,OPS,P0,OPEN,Container health and readiness probes,pom.xml,39-189,Operations audit,HTTP GET /actuator/health,Readiness and liveness probes available,No Actuator dependency or endpoints,Add spring-boot-starter-actuator; configure health probes; permitAll in SecurityConfig,ActuatorHealthEndpointTest,DevOps,2026-08-28,Acceptance Lead
ACC-REQ-P0-001,REQ,P0,BLOCKED,HFP-01 AC15 freee sandbox E2E,.kiro/specs/payroll-management/tasks.md,209,Spec audit + external credentials,Execute HFP-01-011 with developer credentials,Full OAuth sandbox closed loop PASS,Sandbox credentials not provided,Provide freee sandbox app credentials and execute closed-loop test,FreeeSandboxE2ETest,Product,2026-09-05,Acceptance Lead
ACC-REQ-P0-002,REQ,P0,BLOCKED,HFP-02 CloudSign sandbox and signoff,.kiro/specs/contract-document-esign/tasks.md,166-181,Spec audit + external credentials,Execute HFP-02-09/10 with CloudSign credentials,Full e-sign sandbox closed loop and operational signoff,Sandbox credentials not provided,Provide CloudSign sandbox credentials and complete operational signoff,CloudSignSandboxE2ETest,Product,2026-09-05,Acceptance Lead
ACC-SEC-P1-001,SEC,P1,OPEN,Admin hard boundary defense-in-depth,src/main/java/com/ses/config/SecurityConfig.java,143-169,Security audit,Access /user /system-config /audit-log without menu filter,Admin-only hard boundary in SecurityConfig,Combined matcher hasAnyRole includes HR/manager,Split matchers to restrict admin endpoints strictly to hasRole(管理者),AdminBoundarySecurityTest,Security,2026-08-28,Acceptance Lead
ACC-SEC-P1-002,SEC,P1,OPEN,Webhook blind SSRF protection,src/main/java/com/ses/service/notification/WebhookNotifier.java,50-69,Security audit,Set notification.webhook-url to 127.0.0.1 or 169.254.169.254,Reject private/loopback IP and require HTTPS,POST succeeds to arbitrary internal IP,Enforce HTTPS; validate hostname and resolve DNS to block private IP ranges,WebhookUrlValidationTest,Security,2026-08-28,Acceptance Lead
ACC-SEC-P1-003,SEC,P1,OPEN,AI API URL SSRF protection,src/main/java/com/ses/service/ai/impl/GeminiTextServiceImpl.java,57-68,Security audit,Configure arbitrary internal URL in ai.api-url,Allowlist trusted provider hosts only,Accepts arbitrary URL,Validate ai.api-url against trusted Google API hostnames,AiApiUrlValidationTest,Security,2026-08-28,Acceptance Lead
ACC-SEC-P1-004,SEC,P1,OPEN,Browser soliciting Gemini API key,src/main/resources/static/js/modules/ai.js,181-230,Security audit,User enters API key in matching.html UI sent via AJAX,API keys managed server-side only,Key stored in sessionStorage and sent in body,Remove API key input from frontend; manage via server environment variables,AiApiKeyRemovalTest,Security,2026-08-28,Acceptance Lead
ACC-SEC-P1-005,SEC,P1,OPEN,AI ingestion PII sanitization bypass,src/main/java/com/ses/service/ai/impl/AiExecutionGatewayImpl.java,51-59,Security audit,Enable external AI send and trigger INGEST_RESUME,PII masked and canary validated,Canary check skipped for INGEST_*,Enforce PII redaction and canary validation on all external AI calls,AiIngestPiiValidationTest,Security,2026-08-28,Acceptance Lead
ACC-SEC-P1-006,SEC,P1,OPEN,Mail DRY_RUN logging sensitive tokens,src/main/java/com/ses/service/impl/MailServiceImpl.java,128-139,Security audit,Trigger portal invitation email without SMTP configured,Log delivery ID and metadata only,Full email body with tokens logged at INFO,Mask sensitive content; log only deliveryId and recipient domain at INFO,MailLoggingSanitizationTest,DevOps,2026-08-28,Acceptance Lead
ACC-SEC-P1-007,SEC,P1,OPEN,Dev profile default with plaintext passwords,src/main/resources/application.yml,41-43,Security audit,Boot application JAR without --spring.profiles.active,Refuse startup or enforce secure defaults,Boots in dev profile with NoOpPasswordEncoder,Enforce BCryptPasswordEncoder across all profiles; add production fail-fast check,ProfileSecurityDefaultsTest,DevOps,2026-08-28,Acceptance Lead
ACC-REQ-P1-001,REQ,P1,BLOCKED,Dispatch compliance G2 gate Phase B signoff,.kiro/specs/dispatch-outsourcing-compliance-ledger/tasks.md,91-124,Spec audit + legal review,Complete task M Phase B with compliance officer and legal review,Human and legal signoff recorded,Phase B open pending legal actor evidence,Obtain compliance officer assignment and external legal review evidence,DispatchCompliancePhaseBTest,Compliance,2026-09-10,Acceptance Lead
ACC-REQ-P1-002,REQ,P1,BLOCKED,Peppol JP PINT digital invoice sandbox,.kiro/specs/jp-pint-digital-invoice/tasks.md,92,Spec audit,Connect to Peppol service provider sandbox,Full XML transmission and status handshake PASS,Provider sandbox contract pending,Finalize access point provider contract and verify sandbox transmission,JpPintProviderSandboxTest,Product,2026-09-10,Acceptance Lead
ACC-REQ-P1-003,REQ,P1,BLOCKED,AI provider DPA contract signoff,.kiro/specs/ai-feedback-learning/tasks.md,13,Spec audit,Transmit production data to external LLM provider,DPA contract executed before data transmission,DPA not executed (mock provider active),Execute DPA with AI provider before enabling external transmission,AiDpaComplianceCheck,Legal,2026-09-15,Acceptance Lead
ACC-OPS-P1-001,OPS,P1,OPEN,ShedLock on TaskDueDateNotificationScheduler,src/main/java/com/ses/service/scheduler/TaskDueDateNotificationScheduler.java,34,Architecture audit,Run clustered instances at 02:00 UTC/JST,Single instance executes batch,All instances execute batch concurrently,Add @SchedulerLock(name="taskDueDateNotificationDaily") to scheduler,TaskSchedulerLockTest,Engineering,2026-08-28,Acceptance Lead
ACC-OPS-P1-002,OPS,P1,OPEN,Metrics and APM export configuration,pom.xml,39-189,Operations audit,Scrape Prometheus/OTel metrics endpoint,Metrics available for monitoring,No metrics dependencies configured,Add Micrometer Prometheus registry or OpenTelemetry exporter,MetricsExportTest,DevOps,2026-08-28,Acceptance Lead
ACC-OPS-P1-003,OPS,P1,OPEN,In-memory HTTP session clustering,src/main/java/com/ses/config/SecurityConfig.java,115-125,Architecture audit,Deploy multi-instance behind load balancer without sticky session,Session shared across cluster,Session lost on round-robin routing,Document sticky session requirement or add Spring Session Redis,SessionClusteringTest,DevOps,2026-08-28,Acceptance Lead
ACC-ARCH-P1-001,ARCH,P1,OPEN,Transactional on RestController methods,src/main/java/com/ses/controller/api/ManagementAccountingApiController.java,140,Architecture audit,Inspect controller annotations,Transactions managed in @Service layer only,@Transactional on controller methods,Move transactional operations to service methods; remove from controllers,ControllerLayeringAuditTest,Engineering,2026-08-28,Acceptance Lead
ACC-ARCH-P1-002,ARCH,P1,OPEN,Missing rollbackFor on domain services,src/main/java/com/ses/service/impl/MonthlyClosingServiceImpl.java,253-299,Architecture audit,Throw checked exception during closing/sync,Transaction rolls back cleanly,Transaction commits partially,Specify @Transactional(rollbackFor = Exception.class) on all mutating services,TransactionalRollbackTest,Engineering,2026-08-28,Acceptance Lead
ACC-ARCH-P1-003,ARCH,P1,OPEN,Missing Version on master and transaction entities,src/main/java/com/ses/entity/Engineer.java,1-100,Architecture audit,Concurrent update on Engineer / Customer / WorkRecord,Optimistic lock exception thrown,Last write silently overwrites,Add @Version Integer version column to master/transaction entities,OptimisticLockEntityTest,Engineering,2026-08-28,Acceptance Lead
ACC-TEST-P1-001,TEST,P1,OPEN,Browser tests mutating tracked spec evidence,src/test/java/com/ses/web/AttendanceBrowserMTest.java,59-98,Test execution log,Run mvn test -Pbrowser-tests on Windows,Evidence written to target/ directory,Tests write to .kiro/specs/** causing FileSystemException,Update screenshot output path to target/browser-evidence,BrowserEvidencePathTest,Engineering,2026-08-28,Acceptance Lead
ACC-TEST-P1-002,TEST,P1,OPEN,JaCoCo coverage excludes config package,pom.xml,276-282,Test audit,Inspect JaCoCo configuration,Security configuration covered by metrics,com/ses/config/** excluded,Remove config exclude or add dedicated security slice coverage,SecurityConfigCoverageTest,DevOps,2026-08-28,Acceptance Lead
ACC-TEST-P1-003,TEST,P1,OPEN,JaCoCo coverage excludes mapper package,pom.xml,276-282,Test audit,Inspect JaCoCo configuration,Custom mapper annotations measured,com/ses/mapper/** excluded,Include custom mapper interfaces in test measurement,MapperCoverageTest,DevOps,2026-08-28,Acceptance Lead
ACC-TEST-P1-004,TEST,P1,OPEN,Shared H2 database test order pinning,src/test/resources/application-test.yml,1-50,Test audit,Run tests in random order,Tests independent and isolated,Requires <runOrder>alphabetical</runOrder>,Isolate test database per class or ensure full transactional cleanup,TestIsolationAuditTest,Engineering,2026-08-28,Acceptance Lead
ACC-OPS-P2-001,OPS,P2,OPEN,Backup unit preflight trap_add missing command,ops/backup/lib/mysql-options.sh,77,Backup unit execution log,Run preflight-test.sh in isolation,Clean execution without command-not-found,Logs common::trap_add: command not found,Source common.sh prior to mysql-options.sh in test harness,BackupHarnessIntegrityTest,DevOps,2026-08-28,Acceptance Lead
ACC-ARCH-P2-001,ARCH,P2,OPEN,Monthly closing summary company-wide visibility,src/main/java/com/ses/service/impl/MonthlyClosingServiceImpl.java,152-209,Architecture audit,HR user accesses monthly closing summary,Scoped department figures displayed,Company-wide unbilled and unpaid totals visible,Apply organizational scope filter to closing summary queries,MonthlyClosingScopeTest,Engineering,2026-08-28,Acceptance Lead
ACC-ARCH-P2-002,ARCH,P2,OPEN,Non-atomic version increment in recalcPaymentStatus,src/main/java/com/ses/service/impl/InvoiceServiceImpl.java,406-411,Architecture audit,Concurrent payment status recalculation,Optimistic lock version checked in WHERE clause,setSql version = version + 1 without version check,Use updateById with entity version check,InvoiceRecalcConcurrencyTest,Engineering,2026-08-28,Acceptance Lead
ACC-DB-P2-001,DB,P2,OPEN,Legacy tables global unique keys on soft delete,src/main/resources/db/migration/V1__create_tables.sql,1-200,Database audit,Re-create soft-deleted username or contract_no,Re-creation succeeds,Unique constraint violation on deleted rows,Migrate legacy tables to virtual slot-based unique indices,SoftDeleteRecreationTest,Engineering,2026-08-28,Acceptance Lead
ACC-DB-P2-002,DB,P2,OPEN,V108_3 migration ALTER lacks information_schema guard,src/main/resources/db/migration/V108_3__digital_invoice_send_unique.sql,1-50,Database audit,Re-run V108_3 on partially migrated database,Idempotent execution,Fails if index already exists,Add information_schema conditional check matching V108_2 pattern,MigrationIdempotencyTest,Engineering,2026-08-28,Acceptance Lead
ACC-TEST-P2-001,TEST,P2,OPEN,Dual H2 schema maintenance drift risk,src/test/resources/sql/engineer-schema-h2.sql,1-200,Test audit,Add column to Flyway without updating engineer-schema-h2.sql,Unified schema source for all tests,Two schema definitions diverge,Unify test schema source from Flyway migrations,SchemaParityTest,DevOps,2026-08-28,Acceptance Lead
ACC-TEST-P2-002,TEST,P2,OPEN,Weak MVC behavioral assertions,src/test/java/com/ses/controller/api/UserControllerTest.java,1-100,Test audit,Review WebMvcTest assertions,Assert JSON response body and error codes,Status-only isOk() assertions,Add jsonPath assertions to API tests,MvcAssertionAuditTest,Engineering,2026-08-28,Acceptance Lead
ACC-TEST-P2-003,TEST,P2,OPEN,No mutation testing or static analysis in CI,.github/workflows/ci.yml,1-100,Test audit,Inspect CI pipeline,Static analysis and mutation gates present,No SpotBugs/PMD/PIT configured,Add SpotBugs and PIT mutation testing gates to CI,StaticAnalysisGateTest,DevOps,2026-08-28,Acceptance Lead
